Day,Date,Last Price,Volume,SMAVG(15)
Fr,9/23/16,154.98,2.702M,3.453M
Th,9/22/16,156.11,2.691M,3.43M
We,9/21/16,155.53,2.474M,3.405M
Tu,9/20/16,154.45,2.159M,3.361M
Mo,9/19/16,154.87,2.45M,3.383M
,,,,
Fr,9/16/16,153.84,6.464M,3.386M
Th,9/15/16,155.66,3.663M,3.127M
We,9/14/16,154.05,3.861M,3.125M
Tu,9/13/16,155.81,3.637M,3.057M
Mo,9/12/16,158.29,4.368M,2.951M
,,,,
Fr,9/9/16,155.69,5.186M,2.847M
Th,9/8/16,159,3.963M,2.745M
We,9/7/16,161.64,2.867M,2.696M
Tu,9/6/16,160.35,2.994M,2.652M
,,,,
Fr,9/2/16,159.55,2.315M,2.651M
Th,9/1/16,159.54,2.358M,2.666M
We,8/31/16,158.88,2.324M,3.093M
Tu,8/30/16,159.4,1.813M,3.103M
Mo,8/29/16,159.72,2.476M,3.164M
,,,,
Fr,8/26/16,158.32,2.499M,3.202M
Th,8/25/16,158.63,2.575M,3.289M
We,8/24/16,159.05,3.646M,3.284M
Tu,8/23/16,160.26,2.838M,3.231M
Mo,8/22/16,160,2.039M,3.247M
,,,,
Fr,8/19/16,160.04,2.815M,3.3M
Th,8/18/16,161.36,3.652M,3.349M
We,8/17/16,160.44,3.226M,3.261M
Tu,8/16/16,160.7,2.21M,3.19M
Mo,8/15/16,161.88,2.97M,3.236M
,,,,
Fr,8/12/16,161.95,2.543M,3.225M
Th,8/11/16,163.53,8.769M,3.223M
We,8/10/16,162.08,2.467M,2.909M
Tu,8/9/16,161.77,2.738M,3.036M
Mo,8/8/16,162.04,3.039M,3.328M
,,,,
Fr,8/5/16,163.5,3.812M,3.574M
Th,8/4/16,161.55,2.489M,3.618M
We,8/3/16,160.67,2.862M,3.762M
Tu,8/2/16,160.58,3.081M,3.754M
Mo,8/1/16,161.45,2.824M,3.805M
,,,,
Fr,7/29/16,160.62,3.548M,3.806M
Th,7/28/16,161.37,2.34M,3.772M
We,7/27/16,161.83,2.163M,3.758M
Tu,7/26/16,162.12,2.895M,3.785M
Mo,7/25/16,162.65,2.805M,3.757M
,,,,
Fr,7/22/16,162.07,2.52M,3.747M
Th,7/21/16,160.45,4.049M,3.843M
We,7/20/16,161.36,4.376M,3.798M
Tu,7/19/16,159.58,7.12M,3.773M
Mo,7/18/16,159.86,6.73M,3.643M
,,,,
Fr,7/15/16,159.78,4.477M,3.799M
Th,7/14/16,160.28,4.638M,3.766M
We,7/13/16,158.02,2.746M,3.645M
Tu,7/12/16,157.04,3.844M,3.646M
Mo,7/11/16,155.33,2.834M,3.628M
,,,,
Fr,7/8/16,154.46,3.041M,3.75M
Th,7/7/16,152.6,2.138M,3.711M
We,7/6/16,152.37,2.569M,3.719M
Tu,7/5/16,151.68,2.465M,3.739M
,,,,
Fr,7/1/16,152.35,2.658M,3.815M
Th,6/30/16,151.78,3.967M,3.846M
We,6/29/16,148.46,3.368M,3.716M
Tu,6/28/16,145.7,3.998M,3.687M
Mo,6/27/16,143.5,5.167M,3.718M
,,,,
Fr,6/24/16,146.59,9.083M,3.533M
Th,6/23/16,155.35,3.969M,3.082M
We,6/22/16,152.92,2.834M,2.994M
Tu,6/21/16,154.05,2.76M,2.982M
Mo,6/20/16,153.61,3.572M,3.188M
,,,,
Fr,6/17/16,151.99,4.664M,3.113M
Th,6/16/16,151.06,2.449M,3.007M
We,6/15/16,150.68,2.26M,3.134M
Tu,6/14/16,151.06,2.866M,3.178M
Mo,6/13/16,151.28,3.61M,3.128M
,,,,
Fr,6/10/16,152.37,3.121M,3.132M
Th,6/9/16,153.42,2.022M,3.169M
We,6/8/16,154,2.935M,3.201M
Tu,6/7/16,153.33,4.465M,3.238M
Mo,6/6/16,152.73,2.379M,3.145M
,,,,
Fr,6/3/16,152.89,2.328M,3.146M
Th,6/2/16,153.5,2.643M,3.207M
We,6/1/16,152.51,2.663M,3.237M
Tu,5/31/16,153.74,5.837M,3.326M
,,,,
Fr,5/27/16,152.84,2.457M,3.224M
Th,5/26/16,152.44,3.063M,3.386M
We,5/25/16,151.69,4.358M,3.615M
Tu,5/24/16,148.31,2.929M,3.497M
Mo,5/23/16,146.77,2.104M,3.54M
,,,,
Fr,5/20/16,147.25,3.671M,3.634M
Th,5/19/16,144.93,3.686M,3.671M
We,5/18/16,147.34,2.491M,3.678M
Tu,5/17/16,148,3.491M,3.719M
Mo,5/16/16,149.46,3.069M,3.685M
,,,,
Fr,5/13/16,147.72,2.398M,3.67M
Th,5/12/16,148.84,3.249M,3.856M
We,5/11/16,148.95,3.093M,4.041M
Tu,5/10/16,149.97,3.993M,4.285M
Mo,5/9/16,147.34,4.302M,4.898M
,,,,
Fr,5/6/16,147.29,4.896M,5.05M
Th,5/5/16,146.47,6.501M,4.968M
We,5/4/16,144.25,2.577M,4.746M
Tu,5/3/16,144.13,3.584M,4.785M
Mo,5/2/16,145.27,3.502M,4.786M
,,,,
Fr,4/29/16,145.94,4.226M,4.809M
Th,4/28/16,147.07,3.792M,4.747M
We,4/27/16,150.47,3.111M,4.738M
Tu,4/26/16,149.08,2.98M,4.811M
Mo,4/25/16,148.81,2.849M,4.834M
,,,,
Fr,4/22/16,148.5,5.192M,4.907M
Th,4/21/16,149.3,6.018M,4.822M
We,4/20/16,146.11,6.754M,4.873M
Tu,4/19/16,144,13.19M,4.645M
Mo,4/18/16,152.53,6.582M,3.975M
,,,,
Fr,4/15/16,151.72,3.658M,3.754M
Th,4/14/16,151.16,3.177M,3.846M
We,4/13/16,151.23,3.168M,3.952M
Tu,4/12/16,149.63,3.596M,4.013M
Mo,4/11/16,149.25,3.846M,4.021M
,,,,
Fr,4/8/16,149.35,3.294M,4.571M
Th,4/7/16,148.25,3.663M,4.739M
We,4/6/16,150.02,4.195M,4.777M
Tu,4/5/16,150,3.337M,4.744M
Mo,4/4/16,152.07,3.931M,4.792M
,,,,
Fr,4/1/16,152.52,3.926M,4.824M
Th,3/31/16,151.45,6.781M,4.831M
We,3/30/16,148.41,3.331M,4.672M
Tu,3/29/16,149.33,3.139M,4.822M
Mo,3/28/16,148.4,3.265M,4.958M
,,,,
Th,3/24/16,147.95,5.045M,5.005M
We,3/23/16,145.4,4.764M,5.012M
Tu,3/22/16,148.1,4.082M,5.042M
Mo,3/21/16,148.63,3.722M,5.023M
,,,,
Fr,3/18/16,147.09,12.09M,5.07M
Th,3/17/16,147.04,5.822M,4.556M
We,3/16/16,144.79,4.222M,4.459M
Tu,3/15/16,142.96,3.708M,4.452M
Mo,3/14/16,142.78,4.049M,4.434M
,,,,
Fr,3/11/16,142.36,4.422M,4.461M
Th,3/10/16,140.19,4.021M,4.508M
We,3/9/16,140.41,4.406M,4.904M
Tu,3/8/16,139.07,5.579M,4.931M
Mo,3/7/16,140.15,5.171M,4.83M
,,,,
Fr,3/4/16,137.8,3.968M,4.815M
Th,3/3/16,137.8,5.156M,5.037M
We,3/2/16,136.3,5.217M,5.125M
Tu,3/1/16,134.37,3.789M,5.174M
Mo,2/29/16,131.03,4.428M,5.412M
,,,,
Fr,2/26/16,132.03,4.386M,5.596M
Th,2/25/16,134.5,4.358M,5.654M
We,2/24/16,132.8,4.123M,5.779M
Tu,2/23/16,132.4,3.44M,5.723M
Mo,2/22/16,133.77,4.457M,5.732M
,,,,
Fr,2/19/16,133.08,5.125M,5.985M
Th,2/18/16,132.45,9.952M,5.906M
We,2/17/16,126.1,4.821M,5.578M
Tu,2/16/16,122.74,4.061M,5.564M
,,,,
Fr,2/12/16,121.04,4.937M,5.656M
Th,2/11/16,117.85,7.308M,5.943M
We,2/10/16,120.19,6.469M,6.046M
Tu,2/9/16,124.07,5.957M,6.692M
Mo,2/8/16,126.98,7.364M,6.96M
,,,,
Fr,2/5/16,128.57,7.178M,7.07M
Th,2/4/16,127.65,5.266M,6.972M
We,2/3/16,124.72,6.224M,6.934M
