Category: Investing,
,
Day,Dell stock: (Worldwide)
1/20/2016,7
1/19/2016,0
1/18/2016,0
1/17/2016,8
1/16/2016,16
1/15/2016,0
1/14/2016,7
1/13/2016,0
1/12/2016,7
1/11/2016,0
1/10/2016,8
1/9/2016,0
1/8/2016,0
1/7/2016,0
1/6/2016,14
1/5/2016,7
1/4/2016,7
1/3/2016,0
1/2/2016,0
1/1/2016,0
12/31/2015,8
12/30/2015,0
12/29/2015,0
12/28/2015,0
12/27/2015,0
12/26/2015,8
12/25/2015,9
12/24/2015,0
12/23/2015,7
12/22/2015,7
12/21/2015,0
12/20/2015,0
12/19/2015,0
12/18/2015,7
12/17/2015,10
12/16/2015,7
12/15/2015,13
12/14/2015,0
12/13/2015,7
12/12/2015,23
12/11/2015,7
12/10/2015,0
12/9/2015,6
12/8/2015,0
12/7/2015,0
12/6/2015,8
12/5/2015,0
12/4/2015,13
12/3/2015,6
12/2/2015,6
12/1/2015,0
11/30/2015,12
11/29/2015,7
11/28/2015,0
11/27/2015,7
11/26/2015,7
11/25/2015,6
11/24/2015,6
11/23/2015,6
11/22/2015,0
11/21/2015,0
11/20/2015,0
11/19/2015,6
11/18/2015,6
11/17/2015,13
11/16/2015,0
11/15/2015,11
11/14/2015,0
11/13/2015,7
11/12/2015,13
11/11/2015,0
11/10/2015,6
11/9/2015,6
11/8/2015,7
11/7/2015,0
11/6/2015,10
11/5/2015,10
11/4/2015,6
11/3/2015,6
11/2/2015,0
11/1/2015,12
10/31/2015,0
10/30/2015,7
10/29/2015,0
10/28/2015,10
10/27/2015,6
10/26/2015,9
10/25/2015,0
10/24/2015,8
10/23/2015,7
10/22/2015,20
10/21/2015,13
10/20/2015,6
10/19/2015,10
10/18/2015,7
10/17/2015,0
10/16/2015,24
10/15/2015,10
10/14/2015,29
10/13/2015,54
10/12/2015,100
10/11/2015,0
10/10/2015,0
10/9/2015,17
10/8/2015,23
10/7/2015,6
10/6/2015,6
10/5/2015,13
10/4/2015,0
10/3/2015,0
10/2/2015,7
10/1/2015,7
9/30/2015,0
9/29/2015,13
9/28/2015,6
9/27/2015,0
9/26/2015,0
9/25/2015,33
9/24/2015,64
9/23/2015,63
9/22/2015,31
9/21/2015,0
9/20/2015,0
9/19/2015,0
9/18/2015,0
9/17/2015,63
9/16/2015,0
9/15/2015,62
9/14/2015,0
9/13/2015,0
9/12/2015,0
9/11/2015,0
9/10/2015,0
9/9/2015,0
9/8/2015,0
9/7/2015,0
9/6/2015,0
