Category: Investing,
,
Day,Seagate stock: (Worldwide)
11/9/2015,0
11/8/2015,0
11/7/2015,0
11/6/2015,0
11/5/2015,30
11/4/2015,0
11/3/2015,0
11/2/2015,0
11/1/2015,0
10/31/2015,0
10/30/2015,0
10/29/2015,31
10/28/2015,0
10/27/2015,0
10/26/2015,0
10/25/2015,0
10/24/2015,35
10/23/2015,31
10/22/2015,0
10/21/2015,30
10/20/2015,30
10/19/2015,30
10/18/2015,35
10/17/2015,0
10/16/2015,31
10/15/2015,30
10/14/2015,0
10/13/2015,0
10/12/2015,0
10/11/2015,0
10/10/2015,0
10/9/2015,0
10/8/2015,0
10/7/2015,0
10/6/2015,0
10/5/2015,0
10/4/2015,0
10/3/2015,0
10/2/2015,32
10/1/2015,31
9/30/2015,0
9/29/2015,30
9/28/2015,0
9/27/2015,0
9/26/2015,38
9/25/2015,0
9/24/2015,66
9/23/2015,32
9/22/2015,0
9/21/2015,0
9/20/2015,37
9/19/2015,0
9/18/2015,0
9/17/2015,0
9/16/2015,0
9/15/2015,0
9/14/2015,0
9/13/2015,0
9/12/2015,0
9/11/2015,0
9/10/2015,66
9/9/2015,0
9/8/2015,0
9/7/2015,0
9/6/2015,0
9/5/2015,0
9/4/2015,0
9/3/2015,33
9/2/2015,0
9/1/2015,0
8/31/2015,0
8/30/2015,0
8/29/2015,0
8/28/2015,0
8/27/2015,100
8/26/2015,33
8/25/2015,33
8/24/2015,0
8/23/2015,0
8/22/2015,40
8/21/2015,0
8/20/2015,34
8/19/2015,34
8/18/2015,0
8/17/2015,34
8/16/2015,0
8/15/2015,0
8/14/2015,0
8/13/2015,0
8/12/2015,0
8/11/2015,0
8/10/2015,0
8/9/2015,0
8/8/2015,0
8/7/2015,0
8/6/2015,0
8/5/2015,0
8/4/2015,0
8/3/2015,0
8/2/2015,0
8/1/2015,0
7/31/2015,36
7/30/2015,0
7/29/2015,33
7/28/2015,0
7/27/2015,0
7/26/2015,0
7/25/2015,0
7/24/2015,35
7/23/2015,0
7/22/2015,0
7/21/2015,0
7/20/2015,0
7/19/2015,0
7/18/2015,44
7/17/2015,0
7/16/2015,0
7/15/2015,68
7/14/2015,34
7/13/2015,33
7/12/2015,0
7/11/2015,0
7/10/2015,0
7/9/2015,34
7/8/2015,0
7/7/2015,0
7/6/2015,34
7/5/2015,0
7/4/2015,0
7/3/2015,37
7/2/2015,0
7/1/2015,0
6/30/2015,0
6/29/2015,34
6/28/2015,0
6/27/2015,0
6/26/2015,36
6/25/2015,35
6/24/2015,0
6/23/2015,34
6/22/2015,0
6/21/2015,41
6/20/2015,0
6/19/2015,0
6/18/2015,0
6/17/2015,0
6/16/2015,34
6/15/2015,0
6/14/2015,0
6/13/2015,0
6/12/2015,0
6/11/2015,34
6/10/2015,0
6/9/2015,0
6/8/2015,0
6/7/2015,0
6/6/2015,0
6/5/2015,0
6/4/2015,0
6/3/2015,33
6/2/2015,0
6/1/2015,33
5/31/2015,0
5/30/2015,0
5/29/2015,0
5/28/2015,33
5/27/2015,0
5/26/2015,0
5/25/2015,0
5/24/2015,0
5/23/2015,0
5/22/2015,0
5/21/2015,34
5/20/2015,0
5/19/2015,0
5/18/2015,0
5/17/2015,0
5/16/2015,0
5/15/2015,0
5/14/2015,0
5/13/2015,0
5/12/2015,0
5/11/2015,0
5/10/2015,0
5/9/2015,0
5/8/2015,36
5/7/2015,0
5/6/2015,0
5/5/2015,0
5/4/2015,34
5/3/2015,0
5/2/2015,0
5/1/2015,0
4/30/2015,0
4/29/2015,0
4/28/2015,0
4/27/2015,0
4/26/2015,0
4/25/2015,0
4/24/2015,0
4/23/2015,35
4/22/2015,0
4/21/2015,0
4/20/2015,34
4/19/2015,0
4/18/2015,0
4/17/2015,0
4/16/2015,0
4/15/2015,0
4/14/2015,34
4/13/2015,33
4/12/2015,0
4/11/2015,0
4/10/2015,0
4/9/2015,0
4/8/2015,34
4/7/2015,0
4/6/2015,36
4/5/2015,0
4/4/2015,0
4/3/2015,0
4/2/2015,0
4/1/2015,0
3/31/2015,0
3/30/2015,0
3/29/2015,0
3/28/2015,0
3/27/2015,0
3/26/2015,0
3/25/2015,0
